EOS,2
BOS,3
.,4
the,5
",",6
of,7
to,8
and,9
a,10
in,11
is,12
The,13
I,14
you,15
for,16
that,17
on,18
's,19
with,20
are,21
?,22
be,23
it,24
was,25
have,26
-,27
this,28
not,29
as,30
by,31
can,32
has,33
an,34
from,35
at,36
will,37
n't,38
your,39
or,40
his,41
He,42
do,43
we,44
:,45
It,46
he,47
all,48
my,49
This,50
me,51
one,52
up,53
A,54
out,55
were,56
We,57
You,58
but,59
more,60
about,61
In,62
their,63
they,64
!,65
time,66
her,67
had,68
been,69
also,70
which,71
our,72
into,73
like,74
so,75
its,76
new,77
system,78
there,79
;,80
some,81
people,82
what,83
would,84
him,85
should,86
``,87
when,88
no,89
),90
(,91
They,92
And,93
very,94
But,95
other,96
She,97
just,98
know,99
To,100
get,101
them,102
good,103
two,104
could,105
if,106
only,107
than,108
make,109
who,110
work,111
she,112
'm,113
China,114
If,115
paper,116
're,117
What,118
go,119
may,120
did,121
used,122
There,123
method,124
over,125
any,126
how,127
development,128
way,129
now,130
must,131
us,132
most,133
first,134
important,135
many,136
after,137
life,138
these,139
right,140
take,141
between,142
made,143
use,144
want,145
see,146
think,147
through,148
need,149
'll,150
down,151
well,152
here,153
',154
much,155
back,156
world,157
said,158
high,159
such,160
Do,161
off,162
does,163
That,164
man,165
Chinese,166
day,167
water,168
before,169
got,170
long,171
years,172
control,173
too,174
process,175
then,176
When,177
because,178
different,179
come,180
study,181
great,182
still,183
always,184
information,185
As,186
've,187
'',188
going,189
little,190
So,191
How,192
last,193
help,194
part,195
even,196
design,197
never,198
being,199
each,200
those,201
data,202
year,203
put,204
under,205
same,206
company,207
three,208
research,209
say,210
country,211
business,212
model,213
problem,214
market,215
own,216
His,217
give,218
am,219
For,220
quality,221
effect,222
My,223
power,224
every,225
No,226
technology,227
love,228
really,229
set,230
analysis,231
better,232
Objective,233
where,234
look,235
find,236
based,237
management,238
All,239
old,240
away,241
both,242
without,243
home,244
against,245
change,246
results,247
around,248
money,249
best,250
using,251
place,252
application,253
order,254
something,255
At,256
small,257
become,258
kind,259
again,260
ca,261
things,262
found,263
government,264
another,265
children,266
shall,267
number,268
main,269
during,270
school,271
often,272
These,273
let,274
value,275
keep,276
economic,277
problems,278
human,279
next,280
structure,281
show,282
area,283
English,284
big,285
With,286
end,287
while,288
few,289
theory,290
'd,291
>,292
After,293
large,294
students,295
point,296
person,297
production,298
might,299
--,300
thought,301
tell,302
One,303
lot,304
test,305
thing,306
left,307
service,308
room,309
field,310
form,311
hand,312
went,313
house,314
law,315
education,316
feel,317
countries,318
night,319
i,320
hard,321
Some,322
came,323
body,324
job,325
means,326
industry,327
whole,328
face,329
level,330
air,331
family,332
Is,333
food,334
key,335
result,336
An,337
together,338
light,339
na,340
performance,341
car,342
line,343
present,344
city,345
Please,346
products,347
name,348
type,349
play,350
case,351
course,352
economy,353
public,354
why,355
today,356
On,357
Now,358
state,359
treatment,360
international,361
heart,362
social,363
future,364
second,365
function,366
methods,367
full,368
real,369
working,370
provide,371
current,372
support,373
Well,374
Our,375
Why,376
please,377
called,378
energy,379
makes,380
Then,381
Let,382
took,383
given,384
group,385
enough,386
days,387
open,388
special,389
already,390
ever,391
low,392
Can,393
free,394
forward,395
head,396
product,397
mind,398
call,399
making,400
project,401
young,402
environment,403
rate,404
operation,405
sure,406
men,407
experience,408
network,409
article,410
team,411
doing,412
However,413
done,414
far,415
several,416
health,417
book,418
Mr.,419
computer,420
oil,421
side,422
price,423
improve,424
gon,425
women,426
construction,427
material,428
class,429
live,430
Your,431
mean,432
United,433
common,434
less,435
times,436
among,437
strong,438
introduced,439
week,440
needs,441
language,442
bad,443
nothing,444
says,445
New,446
possible,447
effective,448
plan,449
others,450
able,451
role,452
cost,453
Oh,454
pressure,455
matter,456
financial,457
growth,458
studied,459
situation,460
run,461
building,462
local,463
anything,464
American,465
once,466
care,467
space,468
history,469
2,470
example,471
within,472
culture,473
hope,474
security,475
basic,476
believe,477
start,478
&,479
major,480
soon,481
characteristics,482
try,483
friends,484
pay,485
talk,486
told,487
game,488
idea,489
words,490
above,491
early,492
discussed,493
By,494
foreign,495
policy,496
meet,497
further,498
past,499
cause,500
surface,501
mother,502
developed,503
child,504
until,505
general,506
practice,507
four,508
knowledge,509
risk,510
ability,511
society,512
party,513
position,514
higher,515
relationship,516
machine,517
national,518
conditions,519
difficult,520
since,521
systems,522
view,523
father,524
along,525
saw,526
gave,527
God,528
Many,529
factors,530
bring,531
report,532
teaching,533
question,534
attention,535
having,536
effects,537
leave,538
turn,539
resources,540
eyes,541
traditional,542
various,543
changes,544
understand,545
increase,546
equipment,547
modern,548
...,549
1,550
influence,551
trade,552
image,553
short,554
temperature,555
quite,556
action,557
seen,558
girl,559
easy,560
upon,561
related,562
usually,563
mechanism,564
patients,565
certain,566
content,567
land,568
gas,569
looking,570
natural,571
Her,572
single,573
fact,574
necessary,575
simple,576
everything,577
taken,578
proposed,579
stop,580
meeting,581
morning,582
woman,583
top,584
basis,585
Because,586
according,587
